autumn-afternoon.jpg;<em>Le goût du Saké</em> - Ce qu'il suffit pour interrompre
dersuuzala010.jpg;<em>Dersou Ouzala</em> - Briançon par -15°C. Le froid n'est rien face à l'imbécilité
yojimbo64.jpg;<em>Yojimbo</em> - Retourner dans la pénombre
yojimbo31.jpg;<em>Yojimbo</em> - Le visage comme instrument de mesure
TheScentofGreenPapaya007.jpg;<em>l'odeur de la papaye verte</em> - Pour que les notes nous reviennent
stray4920.jpg;<em>Stray Dog</em> - Négociation de paix
stray3121.jpg;<em>Stray Dog</em> - Voyeuriste passif
rhapsody008.jpg;<em>Rhapsodie en Août</em> - Cours d'assise
rhapsody039.jpg;<em>Rhapsodie en Août</em> - Cours d'appel
ran049.jpg;<em>Ran</em> - Briser la courbe
ran021.jpg;<em>Ran</em> - Couleur dominante
ran014.jpg;<em>Ran</em> - Conversations parallèle
madadayo026.jpg;<em>Madadayo</em> - Enseignement japonais. Dualité d'une solution complexe.
madadayo002.jpg;<em>Madadayo</em> - Enseignement japonais. Unicité de la solution.
hiddenfortress62.jpg;<em>La forteresse cachée</em> - Contraste en lumière. Comment le papillon de nuit peut-il tomber dans le piège?
hiddenfortress53.jpg;<em>La forteresse cachée</em> - Chanter pour défier sa condition, ou pour la refuser?
hiddenfortress30.jpg;<em>La forteresse cachée</em> - Pont ou ligne d'horizon imposée
dersuuzala011.jpg;<em>Dersou Ouzala</em> - Parce que mon amour s'extrapole dans la lâcheté des sentiments opposés
1977Kung Mangarap003.jpg;<em>Kung Mangarap</em> - Un soupçon de toi
seven3810.jpg;<em>Les septs samourais</em> - Le regard aiguisé à trancher la pénombre
seven1210.jpg;<em>Les septs samourais</em> - Le retour de bâton, ou quand la carotte ne suffit plus
chagallcantique.jpg;<em>La cantique des cantiques IV</em> - Un rêve à deux pour un amour idéal
moebius02.png;<em>La vague</em> - Le saut ou le plongeon? Les yeux plein de l'écume frissonante d'un inconnu dans lequel on se jette
moebius012.jpg;<em>Face aux sentiers</em> - Trouver l'enfer au coin de la rue d'en face
moebius019.jpeg;<em>La vague monstre</em> - Par dessus la nature, l'imagination
